	PRJEB41560	PRJNA182108	PRJNA419791	PRJNA427493	PRJNA549834	PRJNA590281	PRJNA590595	PRJNA598295	PRJNA628529	PRJNA684430	PRJNA776107	PRJNA854329	PRJNA882367	PRJNA885747	PRJNA937025	PRJNA975299	count
0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	3689
1	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	32
2	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	12
3	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	1
4	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	1
5	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	13
6	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	2
7	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	2
8	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	86
9	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	11
10	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	1
11	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	13
12	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	3
13	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	5
14	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	1
15	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	1
16	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	1
17	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	7
18	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	1
19	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	True	1
20	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	15
21	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	False	3
22	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	True	1
23	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	4
24	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	False	1
25	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	1
26	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	39
27	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	1
28	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	8
29	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	9
30	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	1
